Page Name,Route,Category,Page Type,Core Purpose,Required Actions,Expected Button Behavior,Current Status,Priority,Notes
Dashboard,/,Analytics,Dashboard,Executive overview of system metrics and alerts,View All Insights | Refresh Data,Navigate to detailed pages | Reload dashboard data,Complete,P3,Main landing page
Contractors List,/contractors,Workforce,List,View all contractors in the system,Create Contractor | Import | Edit | Delete | Filter | Search | Export,Navigate to create page | Upload CSV | Edit selected | Delete selected | Apply filters | Search records | Download CSV,Missing Import Button,P1,Critical: Import functionality exists but button may be hidden
Contractor Create,/contractors/create,Workforce,Create,Add new contractor to system,Save | Cancel | Clear Form,Submit contractor data | Return to list | Reset all fields,Complete,P3,Standard create form
Contractor Edit,/contractors/edit/:id,Workforce,Edit,Modify existing contractor details,Save Changes | Cancel | Delete,Update contractor | Return to list | Remove contractor,Complete,P3,Standard edit form
Contractor Show,/contractors/show/:id,Workforce,Show,View detailed contractor information,Edit | Delete | Back | View SOWs | View Timecards,Navigate to edit | Remove contractor | Return to list | Show related SOWs | Show related timecards,Incomplete,P2,Missing quick action buttons
Contractors Import,/contractors/import,Workforce,Import,Bulk import contractors via spreadsheet,Upload File | Download Template | Preview | Import | Cancel,Select file | Get template CSV | Show preview | Process import | Return to list,Complete,P3,Import workflow functional
Employees List,/employees,Workforce,List,View all employees in system,Create Employee | Edit | Delete | Filter | Search | Export,Navigate to create | Edit selected | Delete selected | Apply filters | Search records | Download CSV,Missing Create Button,P0,CRITICAL: No way to add employees
Employee Create,/employees/create,Workforce,Create,Add new employee,Save | Cancel | Clear Form,Submit employee data | Return to list | Reset fields,Complete,P3,Standard create form
Employee Show,/employees/show/:id,Workforce,Show,View employee details,Edit | Delete | Back | Assign Role,Navigate to edit | Remove employee | Return to list | Change permissions,Incomplete,P2,Missing role assignment
Purchase Orders List,/purchase-orders,Procurement,List,View all purchase orders,Create PO | Edit | Delete | Filter | Search | Export | Bulk Approve,Navigate to create | Edit selected | Delete selected | Apply filters | Search | Download | Approve multiple,Missing Bulk Approve,P1,Need bulk operations
